temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,cloud,population,date,year,month,day,dayofweek
37.629999999999995,37.629999999999995,37.629999999999995,1006,33,1006,973,1.87,213,40,13261,2024-02-21,2024,2,21,2
40.450000000000045,40.450000000000045,40.450000000000045,1006,30,1006,1001,1.35,213,31,36047,2024-02-21,2024,2,21,2
39.03000000000003,39.03000000000003,39.03000000000003,1006,30,1006,982,1.67,226,53,13261,2024-02-21,2024,2,21,2
37.650000000000034,37.650000000000034,37.650000000000034,1006,32,1006,967,1.55,233,42,13261,2024-02-21,2024,2,21,2
37.710000000000036,37.710000000000036,37.710000000000036,1006,35,1006,987,2.29,258,50,15419,2024-02-21,2024,2,21,2
38.150000000000034,38.150000000000034,38.150000000000034,1006,29,1006,963,1.4,50,42,11026,2024-02-21,2024,2,21,2
38.35000000000002,38.35000000000002,38.35000000000002,1006,30,1006,968,0.98,254,44,13255,2024-02-21,2024,2,21,2
38.85000000000002,38.85000000000002,38.85000000000002,1006,31,1006,981,1.73,271,67,27349,2024-02-21,2024,2,21,2
37.950000000000045,37.950000000000045,37.950000000000045,1006,31,1006,969,1.76,224,48,13261,2024-02-21,2024,2,21,2
39.670000000000016,39.670000000000016,39.670000000000016,1006,31,1006,992,1.39,184,25,11111,2024-02-21,2024,2,21,2
39.69,39.69,39.69,1005,30,1005,994,1.55,25,44,10305,2024-02-21,2024,2,21,2
38.44,38.44,38.44,1006,31,1006,979,1.86,230,54,11035,2024-02-21,2024,2,21,2
40.379999999999995,40.379999999999995,40.379999999999995,1005,30,1005,1000,0.89,240,39,9021,2024-02-21,2024,2,21,2
39.85000000000002,39.85000000000002,39.85000000000002,1005,30,1005,994,1.91,31,46,11026,2024-02-21,2024,2,21,2
40.460000000000036,40.460000000000036,40.460000000000036,1005,29,1005,998,1.37,214,34,8819,2024-02-21,2024,2,21,2
40.64000000000004,40.64000000000004,40.64000000000004,1005,29,1005,1001,0.67,253,40,7790,2024-02-21,2024,2,21,2
37.660000000000025,37.660000000000025,37.660000000000025,1007,28,1007,960,1.12,191,80,4293,2024-02-21,2024,2,21,2
39.460000000000036,39.460000000000036,39.460000000000036,1006,29,1006,981,1.17,268,64,12659,2024-02-21,2024,2,21,2
40.44,40.44,40.44,1005,29,1005,996,0.88,343,44,7671,2024-02-21,2024,2,21,2
39.26000000000005,39.26000000000005,39.26000000000005,1005,30,1005,983,1.32,16,44,10787,2024-02-21,2024,2,21,2
38.56,38.56,38.56,1006,32,1006,982,1.47,225,39,13223,2024-02-21,2024,2,21,2
38.07000000000005,38.07000000000005,38.07000000000005,1006,31,1006,975,1.97,227,52,11430,2024-02-21,2024,2,21,2
39.910000000000025,39.910000000000025,39.910000000000025,1006,30,1006,995,1.05,249,39,9238,2024-02-21,2024,2,21,2
40.160000000000025,40.160000000000025,40.160000000000025,1006,31,1006,998,1.35,204,28,9115,2024-02-21,2024,2,21,2
39.05000000000001,39.05000000000001,39.05000000000001,1006,27,1006,969,0.5,159,52,2504,2024-02-21,2024,2,21,2
39.10000000000002,39.10000000000002,39.10000000000002,1006,32,1006,991,1.45,237,41,12328,2024-02-21,2024,2,21,2
38.25,38.25,38.25,1007,25,1007,958,0.32,263,83,9387,2024-02-21,2024,2,21,2
39.79000000000002,39.79000000000002,39.79000000000002,1006,31,1006,995,1.16,234,39,9238,2024-02-21,2024,2,21,2
38.10000000000002,38.10000000000002,38.10000000000002,1006,31,1006,973,1.52,251,40,11987,2024-02-21,2024,2,21,2
38.99000000000001,38.99000000000001,38.99000000000001,1006,30,1006,979,1.68,44,41,11026,2024-02-21,2024,2,21,2
39.660000000000025,39.660000000000025,39.660000000000025,1006,30,1006,978,0.57,197,53,10000,2024-02-21,2024,2,21,2
37.910000000000025,37.910000000000025,37.910000000000025,1006,33,1006,982,2.24,254,57,8675,2024-02-21,2024,2,21,2
38.22000000000003,38.22000000000003,38.22000000000003,1006,30,1006,965,1.42,282,70,44171,2024-02-21,2024,2,21,2
39.47000000000003,39.47000000000003,39.47000000000003,1006,34,1006,1003,0.82,134,30,8861,2024-02-21,2024,2,21,2
38.51000000000005,38.51000000000005,38.51000000000005,1006,29,1006,968,1.21,276,68,20860,2024-02-21,2024,2,21,2
38.93000000000001,38.93000000000001,38.93000000000001,1006,28,1006,964,0.2,257,65,20860,2024-02-21,2024,2,21,2
